Image Name,SCORE,number of matches,number keypoints 1,number of keypoints 1,number of descriptors 1,number of descriptors 2
1941.10.png,89.44723618090453,890,1029,995,1029,995
1941.11.png,97.55434782608695,718,752,736,752,736
1941.12.png,81.8577648766328,564,689,691,689,691
1941.13.png,97.74436090225564,520,537,532,537,532
1941.14.png,98.4375,1008,1026,1024,1026,1024
1941.15.png,99.37733499377335,798,805,803,805,803
1941.16.png,86.47845468053492,582,673,689,673,689
1941.17.png,96.88581314878893,560,581,578,581,578
1941.18.png,96.97478991596638,577,598,595,598,595
1941.19.png,89.20510304219823,909,1067,1019,1067,1019
1941.2.png,98.85350318471338,776,786,785,786,785
1941.20.png,98.5969387755102,773,784,785,784,785
1941.21.png,69.25675675675676,615,989,888,989,888
1941.22.png,97.37762237762237,557,582,572,582,572
1941.23.png,97.64890282131663,623,649,638,649,638
1941.24.png,97.68875192604007,634,660,649,660,649
1941.25.png,97.339593114241,622,652,639,652,639
1941.26.png,97.68518518518519,633,659,648,659,648
1941.27.png,97.36842105263158,555,580,570,580,570
1941.28.png,95.39999999999999,477,505,500,505,500
1941.29.png,95.40918163672654,478,506,501,506,501
1941.3.png,97.15370018975332,512,537,527,537,527
1941.30.png,89.14572864321609,887,1035,995,1035,995
1941.31.png,99.45429740791269,729,752,733,752,733
1941.32.png,66.28787878787878,350,528,597,528,597
1941.33.png,90.80118694362018,918,1018,1011,1018,1011
1941.34.png,100.0,729,729,729,729,729
1941.35.png,98.58044164037855,625,634,637,634,637
1941.4.png,97.55244755244755,558,588,572,588,572
1941.5.png,97.36379613356766,554,579,569,579,569
1941.6.png,97.08171206225681,499,524,514,524,514
1941.7.png,88.50931677018633,855,966,1005,966,1005
1941.8.png,100.0,727,727,729,727,729
1941.9.png,100.0,327,327,327,327,327
